Filename,Text,Timestamp,Obvious emotion,Intensity,Level of offensive,TweetID,TweetURL,MediaID,VideoURL,MpegURL
1_00231,"i am not racist, i have black friends",0:08 - 0:12,neutral,low,3,1370265171772456962,https://twitter.com/TomthunkitsMind/status/1354132092603478018/video/1,1354131722800160771,https://video.twimg.com/ext_tw_video/1354131722800160771/pu/vid/320x568/DfJdi2-rLr_gdFcH.mp4?tag=10,https://video.twimg.com/ext_tw_video/1354131722800160771/pu/pl/JZ2w2snN-GF1Clqn.m3u8?tag=10
1_00232,"I am so not racist, do you guys remember, I dated a black guy. I think he was anyway.",0:15 - 0:23,sarcasm,low,3,1370265171772456962,https://twitter.com/TomthunkitsMind/status/1354132092603478018/video/1,1354131722800160771,https://video.twimg.com/ext_tw_video/1354131722800160771/pu/vid/320x568/DfJdi2-rLr_gdFcH.mp4?tag=10,https://video.twimg.com/ext_tw_video/1354131722800160771/pu/pl/JZ2w2snN-GF1Clqn.m3u8?tag=10
1_00233,"I am not racist. But all I am saying is, why do balck people get HPCU's. We don't have white colleges.",0:23 - 0:31,angry,high,4,1370265171772456962,https://twitter.com/TomthunkitsMind/status/1354132092603478018/video/1,1354131722800160771,https://video.twimg.com/ext_tw_video/1354131722800160771/pu/vid/320x568/DfJdi2-rLr_gdFcH.mp4?tag=10,https://video.twimg.com/ext_tw_video/1354131722800160771/pu/pl/JZ2w2snN-GF1Clqn.m3u8?tag=10
1_00234,"Guys, I am not racist, but hear me out. Why do black students get minority scholarships, I mean that's reverse racism",0:33 - 0:42,angry,high,4,1370265171772456962,https://twitter.com/TomthunkitsMind/status/1354132092603478018/video/1,1354131722800160771,https://video.twimg.com/ext_tw_video/1354131722800160771/pu/vid/320x568/DfJdi2-rLr_gdFcH.mp4?tag=10,https://video.twimg.com/ext_tw_video/1354131722800160771/pu/pl/JZ2w2snN-GF1Clqn.m3u8?tag=10
1_00235,"I am not racist, but I grew up poor too. I mean if I can make it, why can't they.",0:42 - 0:49,angry,high,3,1370265171772456962,https://twitter.com/TomthunkitsMind/status/1354132092603478018/video/1,1354131722800160771,https://video.twimg.com/ext_tw_video/1354131722800160771/pu/vid/320x568/DfJdi2-rLr_gdFcH.mp4?tag=10,https://video.twimg.com/ext_tw_video/1354131722800160771/pu/pl/JZ2w2snN-GF1Clqn.m3u8?tag=10
1_00236,"I hat to say this. I end up having this ou know angst every semester, that a lot of my lower ones are blacks.",0:14-0:25,neutral,low,4,1370265064180224002,https://twitter.com/hahmad1996/status/1369786323293310985/video/1,1369786287624970244,https://video.twimg.com/ext_tw_video/1369786287624970244/pu/vid/320x568/O53ndyxwdWZziMN6.mp4?tag=12,https://video.twimg.com/ext_tw_video/1369786287624970244/pu/pl/Rq5xQnjsYuMQJQFE.m3u8?tag=12
1_00237,"Maternity flight suits, pregnant women are gonna fight our war. Its a mockery of the US military. China's military becomes more masculine, our military needs to become as joe biden says feminine, whatever feminine means anymore.",1:22 - 1:31 + 1:34 - 1:38,disgust,high,4,1370264896764588037,https://twitter.com/DailyCaller/status/1370118192253833224/video/1,1370117656947392520,https://video.twimg.com/ext_tw_video/1370117656947392520/pu/vid/478x270/hEJlVceyGyffsN5u.mp4?tag=12,https://video.twimg.com/ext_tw_video/1370117656947392520/pu/pl/chpduS9tSSmfZ3iM.m3u8?tag=12
1_00238,"You fucking need to be killed, you mother fucking piece of shit. Whatever the fuck you are, you uranian fucking",0:27 - 0:33,angry,high,4,1370264377245450247,https://twitter.com/Saliimthedream/status/1370118134057865224/video/1,1370117994291073031,https://video.twimg.com/ext_tw_video/1370117994291073031/pu/vid/320x320/_eApjSn_8gUwp69w.mp4?tag=12,https://video.twimg.com/ext_tw_video/1370117994291073031/pu/pl/lIg0DAq3isrUnguA.m3u8?tag=12
1_00239,Why dont we have a six pm curfew for women. The women who are already afraid to go out at night. The six pm should be for fucking you.,0:20 - 0:12,angry,low,3,1370704983436492811,https://twitter.com/emsiepoops/status/1370704983436492811/video/1,1370704919129423874,https://video.twimg.com/ext_tw_video/1370704919129423874/pu/vid/320x568/juk6tp3dW5E8umMG.mp4?tag=12,https://video.twimg.com/ext_tw_video/1370704919129423874/pu/pl/NeOQ9r2ECWQvbWDB.m3u8?tag=12
1_00240,"Given you electricity, gas, I don't see women doing them. Like where is your fucking skill, you have got nothing. Go work your fucking nine am to five pm job.",0:35 - 0:47,angry,low,3,1370704983436492811,https://twitter.com/emsiepoops/status/1370704983436492811/video/1,1370704919129423874,https://video.twimg.com/ext_tw_video/1370704919129423874/pu/vid/320x568/juk6tp3dW5E8umMG.mp4?tag=12,https://video.twimg.com/ext_tw_video/1370704919129423874/pu/pl/NeOQ9r2ECWQvbWDB.m3u8?tag=12
1_00241,"I am not sexist. But you see, I you drop your fathers name to answer the name of your husband, you are bound to be submissive to him.",0:05 - 0:17,neutral,low,3,1372455948833460226,https://twitter.com/maazi_chinedu/status/1371465436664098816/video/1,1371465128781217792,https://video.twimg.com/ext_tw_video/1371465128781217792/pu/vid/480x270/GI34KRGvzg7H-iQN.mp4?tag=12,https://video.twimg.com/ext_tw_video/1371465128781217792/pu/pl/BizTEy9G3tPNsF6j.m3u8?tag=12